Title,Username,final_review,compound,sentiment,adjectives_only
A’moss,Sivaneshwary Ramachandran,"It's an interesting experience for you to try for anyone who likes the beauty of nature, it's suitable here, it's just lacking in terms of soap service, toothpaste, shampoo, brush, you have to bring your own, mineral water is not provided in the pantry, you have to...",0.8519,Positive,beauty suitable brush bring mineral
A’moss,Suffi Liyana,will come again soon very beautiful place in the middle of the farm this place calm and peaceful fresh air and all the facilities are very good the owner and the staff really kind you will fall in love with this place highly recommend …,0.9773,Positive,beautiful middle peaceful fresh good
A’moss,Junsui Yuri,very nice place i personally like it very much but it is best not to go beyond the night when you check in because there are no street lights at night and the whole road is dark narrow and dangerous surprisingly there is no …,0.3912,Positive,like best whole dangerous
A’moss,NUR AFIFAH,had one of the best time here it is very peaceful the place has lots of thatt uhmm small flies but its bareable the staff and the owner was so helpful u do need to bring all foods and drinks on your own though like in and food cause …,0.9189,Positive,best peaceful uhmm small bareable helpful
A’moss,NR,room neat and tidy comfortable super cold anyway the best part is the view …,0.9371,Positive,comfortable super best
A’moss,Someone,the view was absolutely stunning and surrounded by lush greenery and misty mountains it’s the perfect place to enjoy the cool weather and take in the natural beauty of the boh tea plantation one of the highlights was the chance to enjoy a …,0.9705,Positive,lush enjoy cool natural
A’moss,21-jl-9,"For information, the owner of the accommodation is not a Muslim. There are also tourists who bring their pets to this location. You must not tan after that. There are so many options in your hands...",0.0,Neutral,muslim many
A’moss,Shushi Sean,bad experience i been in here on the day we checkin the owner call and we really shock that he with the hard voice from the phone yelling and very rude for st time that we have been stay a lot of places before never been get rude owner …,-0.9243,Negative,bad hard rude
A’moss,Norhaslin Noh,the road leading there is too narrow and one way hope more safety features could be added for those driving in …,0.7178,Positive,narrow
A’moss,Saranya Rajan,stayed here dnthe rooms are clean and very well design …,0.624,Positive,
A’moss,Ooi Rai Ney,it’s a nice get away from the city it’s worth to stay but there is a few tips to take note …,0.3291,Positive,nice worth stay
A’moss,ng yao,the amenities are insufficientnot working and old cannot even fulfill basic no detergent provided had to keep request water filter spoil no proper cover at open air lodging to pull out if rain platform unstable causes our cutlery …,-0.8077,Negative,old basic keep open pull unstable
A’moss,JC,a fantastic place to go when you want to get away from the bustling city life amoss lets you have that peaceful experience where youre out amongst the land feeling free from emails and phone calls and neverending work the staff is …,0.8979,Positive,fantastic peaceful free neverending
A’moss,Take 5 Asia,glad i found this hidden gemthe rooms were clean cozy and had a charming rustic feel loved the little details like the outdoor seating spots and the farm added to the whole experience the hosts were incredibly hospitable and made sure we were comfortable throughout our stayhighly recommend this farmstay if you’re looking to unwind slow down and enjoy the simple joys of nature can’t wait to come backi truly cant wait for my next stay,0.9849,Positive,gemthe clean rustic little whole hospitable comfortable stayhighly unwind slow simple joys cant
A’moss,Bernice Laurie,good design of the dorms get ready for the amount of flies due to its location is in the farm really alot even inside room and toilets they are everywherekitchen with almost zero equipment so we have to prepare ourself no charcoal bbq is allowstaffs cant communicate well in english and it may take times for owner to reply if you hv enquiry,0.3369,Positive,good ready due inside bbq cant english
A’moss,Hidayah Ramli,rather remote good if you want to avoid crowd rate star as there was no proper signage and you need to drive through a single lane to get inoutgood for glamping byof,-0.0516,Negative,remote good drive single
A’moss,Adnan Alghamdi,the glass dome bedsheets were badly stained windows were dirty service was alright location a bit inconvenience however the scenery was beautiful the switch to the curtains and the beds can be improved water heater is also not very strong it is not warm enough for cameron weather if the above are met then it is value for money otherwise it is quite expensivethe reply from property that it was not there when we check in hence it was suggested that the stained was from the guests what a way to reply,-0.1741,Negative,dirty beautiful improved strong warm expensivethe stained
A’moss,malar 27,the stay was great view was amazing and the unit was very comfortablethe staffubjolhassanaminourwere very helpful respectful and accomodating,0.9357,Positive,stay great helpful respectful
A’moss,Shahirah Samsudin,it was my th visit here i have try all of their room type except the latest piramid sold out due to last minute booking not really happy for this stay rm steamboat for pax all were fishball as their website were hang when we are making the same day booking and processing payment contact owner to ask the availability and he offer rm cheaper from the website but the payment has been deducted by the time the website finish loading ask owner if he could still give us the rate rm he turned us down as a customer it would be happy if he complimentary your customer a dinner or whatsoever u make your loyalty customer sad,-0.2452,Negative,latest due last happy ask cheaper website website finish complimentary
A’moss,Maulidatul ummuh Ida,tempat memang best gila alhamdulillah puas hati and service memang cun siap angkatkan barang order minum siap hantar depan pintu inshaallah ada rezeki lagi mai sini lagi xnak cari tempat lain dahtranslated by googlethe place is really great thank god im satisfied and the service is really good ready to pick up the goods order a drink and have it delivered to your door inshaallah i will have more luck and come here again i dont want to look for another place anymore,0.9766,Positive,best cun googlethe great good ready door inshaallah
A’moss,contact .t,toilet a bit dim but still acceptable dome and only can fit pax maximum dome can stay pax maximum but this only will be mentioned before check in suggest to ask more questions before you book customer service is slow only valid for whatsapp was trying to call but unreachablewill have some fly during breakfast time outside of dome no streetlight to the way to a’moss and only way for enter and exitoverall experience still okay cold and nice to snap photos,0.8573,Positive,dim acceptable dome maximum dome slow valid unreachablewill dome streetlight cold nice
A’moss,Clifford Goh,we stayed at the glass cabin and the caravan for nights each accommodates pax facilities were well maintained and clean nice hot water for showers comfortable beds the carvan comes with ac cum heater both have ensuite bathroom and toilet fridge and all cooking utensils are provided just bring food to cook there are flies during the day but tolerable they disappear after pm windy and no mosquitoes at night roadway can accommodate seater mpv host and workers are responsive enjoyable stay recommended,0.8625,Positive,stayed clean nice hot comfortable cum bring tolerable disappear enjoyable
A’moss,meor shaharuddin,stayed in the glass house the view and location is great cold but theyre lot of flies and the glass is not properly maintained the glass is not cleaned properly steamboat is not recommended they provided an aircond in the glass …,0.1685,Positive,stayed great cold
A’moss,Xy Leong,for who that love nature really recommended we choose dome for our lastday honeymoon stay really satisfied from the view the place the service we sure will come again for glasses dome if you don’t bring any food for dinner …,0.893,Positive,choose dome satisfied sure come
A’moss,Muaz Yunos,amazing stay at a’moss farmstay – even better the second timethis is my second time staying at amoss farm stay and i must say they have …,0.7717,Positive,second timethis second amoss
A’moss,raja mohar,great atmosphere awesome placemost importantly their service staff is very professional and customer oriented,0.8885,Positive,great atmosphere awesome service professional
A’moss,Jee Onn Mah,"That day I celebrated my wedding anniversary, the room was beautiful, the place was very quiet, today I was moved to review it because I forgot to review it from that day hahaha, going to this place is a bit difficult, but when I am satisfied...",0.6542,Positive,anniversary quiet difficult
A’moss,Mooi weng hou,have a lovely stayed last week you can really relax and enjoy the view only cons is the drive up to the darmstadt that mayb challenging especially if it is the peak period another spoiler is that the sun rise and sun set view is blocked …,0.8737,Positive,last relax enjoy peak
A’moss,Sue Anne Tan,amazing place the air was fresh and cool the scenery was great the owner was friendly and helpful and there was a swing and nice farm it was beautiful and charming also please note that there are some steep mountain roads before …,0.9839,Positive,fresh great helpful nice please steep
A’moss,qstna r00,this location is magnificent beyond words my friend and i had the best time ever when we came together perfect glamping location well worth the money spent stunning scenery peace and quiet was what we experienced …,0.9753,Positive,best perfect worth stunning
A’moss,fabulous me,the location is simply amazing this is such a tranquil setting away from the bustling city life very clean air and you can feel a healthy life from dawn to dusk so tranquil that you can feel the cold breeze highly recommended,0.8998,Positive,clean healthy cold
A’moss,Zulhairi Aizad,a very calming cold and clean place—spotless with not even a single ant around the staff were friendly and helpful and while the food was just okay the overall atmosphere was relaxing the road to get there was okay no issues …,0.9381,Positive,cold clean single helpful overall
A’moss,faz standalone,i stayed one night at one of the mirror glass domes—its really nicely decorated and super cosy loved the vibe …,0.8999,Positive,super
A’moss,Qian Tua,the overall place could have been fantastic but it really missed the mark even before we got to the destination amoss is in a very beaten off path and ideally they should have connections to provide pick off and drop off services we …,-0.6161,Negative,overall beaten pick
A’moss,Asyraf Haikal,great view and of course cold the room could be better toilet quite dirty when we came but after told the worker they come and clean it not what i expected but the view makes up the cons of the place do note to follow google maps to go to the place or you might get lost,0.4595,Positive,great cold dirty come clean follow
A’moss,Afiq Hakimi,we had an amazing time at a’moss farmhouse both during our visit last year and again this year for my birthday this year we bring our family together from the moment we arrived the owner and the entire team made us feel so welcome – …,0.8256,Positive,amazing last entire
A’moss,J J,its unfortunate that it was raining season i stayed at crystal dome the door of the crystal must remains closed or the rain will flood the dome as the center top of the dome is made of glass it gets warm on the day and stuffy when it …,-0.0772,Negative,unfortunate crystal dome closed dome top warm
A’moss,Fadzli Sohi,honestly i’m giving this star just because of the view the reasons are the steamboat is a scam this is my first time i got extra charged just because i ordered drinks and additional ingredients the worker did not even inform …,-0.0258,Neutral,first extra ordered additional
A’moss,antonio buccio,very beautiful place in the middle of the farm we slept very well in the pods and the staff is very nice a furnished shared kitchen is provided enough to cook for dinner and make breakfast think about to rent either a car either a motor bike to move around since it is a bit far from the main road,0.907,Positive,beautiful middle pods enough main
A’moss,Thivagar A.Murugan,its very calming and peacefull places to visit its full of flower and herbs its really nice view to visit like in paradise the facilities like toilet is also near the dome highly recommend i definitely gives stars,0.9641,Positive,peacefull full nice dome
A’moss,Arputha Raj,great relaxing stay highly recommend for calm environment and a million dollar view from dome i would definitely come again amazing experience,0.9593,Positive,great recommend amazing
A’moss,SF. P,we had a wonderful stay at amos farmstay hassan’s hospitality was topnotch — super friendly helpful and always making sure we were comfortable the place itself is peaceful quiet very clean and the view is just amazing,0.9821,Positive,wonderful hassan helpful sure comfortable peaceful quiet clean
A’moss,sarvaessh waran,fantastic experience the site was cozy and chill had everything i needed for a relaxing getaway love the peaceful atmosphere surrounded by beautiful nature host staff were friendly and very helpful definitely a unique and unforgettable stay,0.9806,Positive,fantastic beautiful helpful unique unforgettable
A’moss,ZHI DAN,everything was perfect until the black out black out more than hour went to ask and the staff wasn’t even helpful at all and blamed it on my telephone service that doesn’t reach his phone absolutely absurd,0.5423,Positive,perfect black black ask helpful absurd
A’moss,Manpreet Kaur (MK KHALSA),driving experience is not for the weak the room is pretty and super cold at dawn till sunset service is okay as long as you are patient location is high up next to boh with cool sunrise view if you are to stand in a humid ° weather,0.9137,Positive,weak super cold patient high next cool
A’moss,Alan C.S. Tan,room very goodcomfy and good vibesthe road to the place little narrow and parking was trouble however the staff there provide good help and guide wellfood wise can improve littlemayb should try steamboat fried dishes was okey,0.9067,Positive,good little narrow good
A’moss,Ili Aqilah Yus Amirul,if you are thinking of escape this is the best place i would recommend road it’s really scary road to drive ensure you are prepared yourself to …,0.813,Positive,best scary prepared
A’moss,Kami Tetep,wow this place is really cool such a relaxing environment away from the hustle and bustle of city life extremely fresh air and very nice owner you can feel healthy from morning to night the toilets are located right next to the dome and are reserved for each dome sharing is not required,0.964,Positive,cool hustle bustle fresh nice healthy next dome
A’moss,syahirahz2023,it was a great experience to stay here the location bed bathroom just perfect they give very comfy bed and blanket have curtain and a spacious private space as well and also one of the staff is really helpful and friendly i definitely will come back again,0.9593,Positive,great spacious private helpful
A’moss,Olivia Loh,this is first time glamping and i like the place very much you are really “inside the nature” and surrounded by vegetable farm and mountain view however some tips is you may not want to stay in the tent before sunset as is quite hot …,0.3134,Positive,first much inside vegetable tent hot
A’moss,Nurul Hafifah,stay here on last night not to hard to find the location just easybut there are a lot of flies outside cannot open the door flies will enter the …,0.0762,Positive,last hard open
A’moss,Wilson Hua,The road to get in close to Sg Palas Teh both the road to Amoss is a bit challenging but when you get to the view you are very satisfied...,0.0772,Positive,close challenging
A’moss,Wahidah Jabbar Louis,this is such a unique accommodation with a variety of lodgings they have domes and airstream and small houses to choose from there are a few activities and they were building a restaurant when i was there but it’s not nearby anything walking distance so i recommend you take a rental car but the view is gorgeous,0.8971,Positive,unique small choose nearby rental gorgeous
A’moss,Shaffiee Abdullah,me and my husband come on for our anniversary stay i should say woww what an experience the placeviewweatherthe service they provide top notch the night was so cold its about ’c freeze the stars at midnight …,0.25,Positive,anniversary woww top
A’moss,sharon tan,one of the few bangforbuck glamping spots available at cameron highlands its definitely worth the stay for the price …,0.5574,Positive,available worth
A’moss,Sharmaty Kesavan,the good stuffthe place the food and their hospitality the view was amazing day and nightwe tried their nasi lemak western breakfast teh tarik and scones which were …,0.7717,Positive,good amazing tried nasi western
A’moss,Voon Xin,this location is just stunning such a tranquil setting away from the busy city life very clean air and a kind owner from dawn until dusk a healthy life is palpable there is a lavatory right next to the dome and since it is exclusive to each dome there is no need to share,0.908,Positive,tranquil busy clean healthy palpable right next exclusive
A’moss,Ts. Hazman Haziq Sulaiman,the farm is remote from the hustle and bustle of metropolitan life the view is breathtaking the crystal domes design is oneofakind and extremely comfy it is ideal for couples looking for a romantic getaway for a brief holiday overall a wonderful location a nice view and a reasonable price,0.9538,Positive,hustle metropolitan crystal comfy romantic overall wonderful nice reasonable
A’moss,Nurulilham Shabudin,absolutely mesmerising view i’ve already been here twice and can’t wait to come back again the scenery is breathtaking and the whole experience was just perfect — from the service and the dome to the overall management it’s incredibly …,0.7717,Positive,scenery whole perfect overall
A’moss,hi there,cats saw two of them during our stay fed them whenver they visited and took some pics there was a blackout during the third day of our stay for about an hour which …,0.0,Neutral,stay blackout third
A’moss,Farhana Nana,amoss farmstay is a true gem amidst the tourist hustle and bustle of the cameron highlandsif youre looking for peace and quiet in the middle of a real farm surrounded …,0.743,Positive,true hustle bustle quiet middle real
A’moss,Manish Patel,beautiful place in nature the domes have all the comforts for cooking there are the necessary tools the domes have private bathrooms and beds are comfortable really peaceful very functional management view of the valley and the …,0.9299,Positive,beautiful necessary private comfortable peaceful functional
A’moss,Sunshine12591939449,it was a whole new experience if you are looking forward to go on a vacation free from a hectic city life than you should consider this place if you are a nature person for sure you will fall in love with this place …,0.8689,Positive,whole new forward free hectic nature sure
A’moss,Sara Nawayai,such a beautiful bed and breakfast in really tranquil surroundingsthe lady that runs it was so helpful friendly and welcoming i felt totally relaxed after being here and would most definitely want to return …,0.97,Positive,beautiful helpful
A’moss,Lohges Wari,stayed at campair tailer satisfied the room was clean and neat got aircon recommendations steamboat dinner was excellent activities are super fun like hiking harvesting and sunrise the staff was so friendly and kind especially …,0.9829,Positive,clean aircon excellent sunrise
A’moss,arie Last,the place is nice but from my first impression when we arrived at the place we were told that we are not allowed to enter even just to survey before planing to stay and i think i wont stay there due to the answer that i got the staff …,0.5023,Positive,nice first told stay wont due
A’moss,Michael Hollstein,ive stayed here for the third times now its cozy and i would totally recommend it for a family stay,0.4201,Positive,stayed third
A’moss,Isaac Song,i went there but there were no rooms available i thank mr hamdi for his kind reception and kind words the place is very wonderful and the best thing about the place is the road leading to it its a wonderful adventureyou really feel the adventure,0.987,Positive,available thank wonderful best wonderful
A’moss,A. C.,it was a wonderful getaway the weather was on our side as it didn’t rain except for a light drizzle while we went for the farm tour a memorable stay very accommodating management and staff on duty amin,0.5719,Positive,wonderful light memorable
A’moss,Nick Liaw,third visit to amoss and tbh its never enough waiting to go again and again from the rooms to the staff there everything was perfect for me a great escape spot from the city life and to spend time with my loved ones,0.9246,Positive,third great
A’moss,Shobana Nair,the best view in camerondefinitely one of the hidden gems in cameron the view was great …,0.8519,Positive,hidden great
A’moss,Chernervin Citbanchong,the place is cold but the room is warm so it is comfortableit has a great view and their staff is very friendly and helpfulthe was also nice,0.9548,Positive,cold great helpfulthe
A’moss,alif zafuan,what an amazing place to visit and enjoy the moment this can be a great place if you plan to do a short getaway extremely fresh air and admirable owner those who miss rural place and want to have a feeling of rural area at least for a few days this can be a perfect place for you to stay over totally recommended,0.9729,Positive,great short fresh admirable miss rural rural least recommended
Air Terjun Takah Pengkoi,Vpc5Fe,attached,0.0,Neutral,
Air Terjun Takah Pengkoi,b_ fateen,"rm one person to go back in the day from the entrance to the waterfall area, it's only km the road is no longer red soil, instead it is cemented along the route, there are many chalets along the waterfall, there are also several slides in the surrounding area, there is a prayer room and several sinks near the camping site, I am not satisfied with showering because of the rain, in sha allah, there will be sustenance to come again, there are many more areas that are being upgraded",-0.5472,Negative,waterfall red many waterfall several several many
Air Terjun Takah Pengkoi,NAVY WORLD (NAVY),Have you gone to Pengkoi Waterfall during the weekend? There are also many people who go camping. Even the place is hidden deep inside. There is a fee to enter. Refer to the picture. The journey in is quite challenging with a narrow path in and out and the road conditions are quite bad.,-0.4404,Negative,pengkoi waterfall many deep fee challenging narrow bad
Air Terjun Takah Pengkoi,Redzwan Taufek,entrance charge rm for one clean weekday area not many people the way to the waterfall area is quite extreme but still okay there are toilets and bathrooms in the water area some are deep and not,0.4939,Positive,clean weekday many waterfall extreme okay
Air Terjun Takah Pengkoi,Iqram Irfan,the waterfall is cool and there are many pools where you can bathe. You can try going up to the top floor to bathe. The road to get here is quite challenging. Not recommended for cars. Entrance fee per head RM,0.4832,Positive,waterfall many top recommended
Air Terjun Takah Pengkoi,Miss Zoob,no need to hike to go to this waterfall rmpax is quite expensive esp if your family is big anyway can see the place is well taken care and there are slides i think its worth if you camp or stay overnight,0.6124,Positive,waterfall expensive big worth
Air Terjun Takah Pengkoi,F C,toilet bath water need to improvesometimes doesnt has water good camping experiencegood weather cold waterfall water not hot the whole day even in the afternoon water slide is good and safe to play crowded during the days even at night its full of campers,0.125,Positive,doesnt good waterfall hot whole good safe full
Air Terjun Takah Pengkoi,noor adzreen,last minute unplanning camping plan on saturday cold waterfall don't regret going here visitors who come all behave very clean from trash,0.6514,Positive,last saturday cold clean
Air Terjun Takah Pengkoi,Zushahira Jamil,really love the atmosphere here so relaxing clean great place to come with family or friends,0.964,Positive,clean great
Air Terjun Takah Pengkoi,Haziq Selamat,one of the most anticipated places i have been i am having fun here most of the hours i stayed in the water rather than at surface haha,0.743,Positive,anticipated
Air Terjun Takah Pengkoi,Amiy Dyra,"Just follow the signs that people put up, it's ok, it's a bit challenging, the entrance is a small road, it's only cemented, even the pool has many levels like a terrace and a port for people to camp, each place has a sink, the only thing is that the bottom of the pool is uneven, some are deep, some are clear, some have heart stones, if you bathe, it's suitable for those who camp, there's a provision to try the night atmosphere",0.7845,Positive,follow challenging small pool many sink uneven deep clear suitable
Air Terjun Takah Pengkoi,Ayunatasha Misiran,"Takah pengkoi waterfall review, no check-in and check-out time, spacious parking area, spacious and comfortable toilet, clean bathroom, staff always clean the trash can early in the morning, sweeping leaves and camping area at night, camping area, river waterfall, toilet, shower, etc., there are lights and light, it's worth it, camping room for adults and children under the age of 2 free, chalet room for adults and children under the age of 2 years, free picnic room for adults and children under the age of 2 years, free",0.9538,Positive,spacious spacious comfortable clean clean early worth free free picnic free
Air Terjun Takah Pengkoi,noor adila,visit on thursday fee rmexpensive for mesince toilet changing room surau are not in good appearance imonot many peoplethe road to reach the place are bumpy and small roadcleanliness of the place are good,-0.5736,Negative,thursday rmexpensive good many small good
Air Terjun Takah Pengkoi,Wan Muhamad,that place really really i love thier waterfall so amazing and also have slide but one thing there is no coverage line yaa i hope u all enjoy the holiday ha ya i forget one thing for kids and oku it free and for adult person,0.9679,Positive,thier amazing holiday free
Air Terjun Takah Pengkoi,lilian yapp,went on a weekday no clear signs along the road best to follow google maps or waze entrance fee is rm per person drive in further on a narrow road for about mins and youll arrive at the parking area ample parking space available have separate shower area and toilets good spots for camping there are several slides at different levels of the waterfall perfect for die hard nature lovers to spend the night there theres a treehouse with attached bathroom and a few other rooms on the ground level that share the common toiletsvery attractive waterfalls good for picture taking and camping,0.9538,Positive,weekday clear best follow narrow youll arrive ample available separate shower good several different perfect hard common attractive good
Air Terjun Takah Pengkoi,mahadi azman,boring with the city life need to run for the nature from the loud environment well here the place for you to release your tension and thoughts because this place brings you peace and happiness a green around you will make you feel better and the sound of waterfall will make your mind at easebut becareful for lowered cars you gonna have a battle of avoiding those scratches for standard car your car will do just fine like my proton saga,0.743,Positive,loud green better waterfall becareful gon standard
Air Terjun Takah Pengkoi,Ezaty Norsah,so refreshing and serene great for a short nature break however the toilet and shower need to be improved,0.8876,Positive,serene great short shower
Air Terjun Takah Pengkoi,MUHAMMAD HAFIZ BIN SAAIDUN,an interesting place to visit especially during the holiday season while enjoying the scenery and playing in the water,0.8709,Positive,holiday scenery
Air Terjun Takah Pengkoi,Fatehah Fauzi,really enjoyyy itt… wort it going there want to repeatabsolutely yesthanks for the native people that preserve the nature place like that kudosthe toilet and changing room is clean…the water and the surrounding so chilling and refreshing,0.3201,Positive,enjoyyy repeatabsolutely native kudosthe
Air Terjun Takah Pengkoi,Rafiq Khair,"The view is beautiful and comfortable, but the entry price is a bit steep if your head is okay",0.714,Positive,comfortable steep
Air Terjun Takah Pengkoi,D,the last time i visited this place was in and now i’ve come back again since it was a friday which is part of the weekend in johor i expected the place to be fully occupied to my surprise it was completely empty—no one else was there we had the whole place to ourselves which made the experience even betterwe started by cooking indian banana leaf curry rice and enjoyed some delicious payasam for dessert later in the evening we prepared korean steamboat for dinner played uno cards and even danced the night away the room was pleasantly cold even without turning on the fan and the linens were clean and freshthe next morning we cooked breakfast and enjoyed the amazing waterfall shower—it was such a refreshing experience the waterfall itself is beautiful and serene for lunch we cooked again and during that time we noticed a group of motorbikes and some singaporean cars entering the area they stayed for about an hour to shower and then leftwe eventually left in the evening feeling incredibly satisfied this time having the entire waterfall to ourselves made the trip unforgettable it truly felt like the whole place belonged to us highly recommend this unique experience,0.9924,Positive,last friday occupied empty—no whole indian delicious prepared korean uno freshthe next beautiful serene satisfied entire unforgettable like whole recommend unique
Air Terjun Takah Pengkoi,Erisha Umaira,"sorry to say this but please improve the facilities here, you pay RM per person but there is no direct seat even if you come early in the morning because the place by the river is full of tents and tape that prevents you from sitting because it is already reserved, I suggest making a campsite nearby but not right by the waterfall so it will be easier for visitors to park and picnic here",0.8126,Positive,direct early full suggest campsite easier
Air Terjun Takah Pengkoi,Isaac Koo,the facilities and the roads are private so you will need to pay some fees before entering however i think it is worth it if you come for camping,0.128,Positive,private need worth
Air Terjun Takah Pengkoi,Hanis Fatini,"enter the room at first, the road to enter is a bit winding, the waterfall area is interesting, the view is beautiful, there are chalets that can be booked as well",0.8271,Positive,waterfall beautiful
Air Terjun Takah Pengkoi,Muhammad Bin Daud,too many changes of landscape full of cement and concrete floor and wall not so back to nature as i imagine entrance fee is rm per head kids under yo free roads okay sedan can easily drive through but small roads and uneven road structure be carefultoilet smells pee chalet available but dont have high expectations per night around rm per head i think not sure i remembered it right have camping site,0.2161,Positive,many full nature free sedan small uneven pee available dont high sure right
Air Terjun Takah Pengkoi,Durr Shohaimi,"come with friends, children, children, everyone can enjoy the bbq, the slide at the top looks dangerous too, those who are skinny, light, have a heart, the water pushes hard to the side of the slide, the slide for the boy, the boy at the bottom is also a little dangerous because the landing area is below him, there are water stones to take a shower in the cold bathroom, the way to get in is free, oh my God, the road is cement, crooked, crooked, palm tree, until you remember that we are lost haha, go in and pay rmpax",0.7351,Positive,bbq top dangerous skinny light hard bottom dangerous shower cold free crooked haha
Air Terjun Takah Pengkoi,Angie,peaceful and refreshing having great time with family here they love the waterfalls so much can take a dip in the refreshingly cool water and do the back ‘massage’a lot of butterflies here as wellthey also provide camping zones if just want to come for playing water like me need to pay entrance fee rm per pax but it still worthy facilities considered well maintained upper floor toilets are for bathchange clothes purposes but dark and limitedbe careful when drive to the destination the road conditions abit dangerous better open the window and check when on the cornerno network coverage so you can enjoy natural to the fullest,0.9751,Positive,peaceful great much cool come worthy upper limitedbe careful dangerous better open natural fullest
Air Terjun Takah Pengkoi,Zikri Haziq,The waterfall is in the indigenous settlement area. RM per entry. The entrance is quite challenging. Don't bring a lowered car. The waterfall is beautiful and you can camp,0.7321,Positive,indigenous challenging
Air Terjun Takah Pengkoi,Chempakasuri. 545,beautiful but expensive lower the price more people come more income,-0.09,Negative,beautiful expensive lower
Air Terjun Takah Pengkoi,Ahmad Apiit,"pro parking close to the campsite, the campsite site is right facing the waterfall, cons, the price to enter the room, personally, it feels a bit expensive, the entrance road is a bit off road, bumpy and the toilet door hole is not locked, the phone line is not direct.",0.0,Neutral,pro close campsite right waterfall feels expensive bumpy
Air Terjun Takah Pengkoi,Hayati K,"He said there is a level of the waterfall but Ritu managed to level it and only the water is very cold, the area of ​​the waterfall is clean and there are many chairs and a place for bbq which is very suitable for spending time with family and friends",0.8271,Positive,cold many suitable
Air Terjun Takah Pengkoi,Erma Fadzilla,"ticket price for adults, children's room, free, far into the oil palm plantation, where you can spend the night and camp, toilet, prayer place, parking lot",0.5106,Positive,free palm
Air Terjun Takah Pengkoi,Nazri Musa,fun interesting place suitable for healing for visitors please keep it clean let's take care of the environment so that the next generation can also enjoy the beauty of creation,0.9694,Positive,suitable please clean next
Air Terjun Takah Pengkoi,Hazila Asni,more toilet available spacious and cleandownstream area nearby the tree house is a nice place to set up tent and enjoying the cold and fresh river have several part that suitable for kids and also adult less crowded during weekend compare to upstream at the waterfallduring weekend especially school holiday will be so many people visiting waterfall area will be so crowded in the water as well as on the ground avoid weekend especially school holiday if you are looking for a peaceful camping stay there are chalet available for rent toopicnic rm headcamping rmnightheadfees apply to years old and aboveperson to contact is kak ros if you found contact other than kak ros they might be agent so charge might be different,0.9482,Positive,available spacious tree nice cold fresh several suitable crowded upstream holiday many waterfall avoid peaceful stay available toopicnic old aboveperson contact different
Air Terjun Takah Pengkoi,lia jusoh,"It's a clean place, there are so many flies, it's hard to eat, the toilet is so small, I don't know how to rinse it, but I'm lucky to take a shower in the waterfall, so I don't care, everything else is ok",0.509,Positive,clean many hard small lucky shower
